TIME, UY_3, UX_2, FX_5, FY_7, FY_6,Displacement,Deflection,Reaction ,Load,,,
2.00E-04,3.03E-04,2.16E-06,-99.8650492,-2.564381,-2.67,0,0.3,99.87,5.23,,,
4.00E-04,5.89E-04,3.92E-06,-199.780166,-5.13019445,-5.34,0,0.59,199.78,10.47,,,
7.00E-04,9.91E-04,5.97E-06,-349.520364,-8.97561612,-9.34,0.01,0.99,349.52,18.32,,,
1.15E-03,1.54E-03,8.01E-06,-574.21231,-14.7456565,-15.35,0.01,1.54,574.21,30.09,,,
1.83E-03,2.26E-03,9.55E-06,-911.252687,-23.4007452,-24.36,0.01,2.26,911.25,47.76,,,
2.84E-03,3.15E-03,1.01E-05,-1416.8279,-36.3836134,-37.87,0.01,3.15,1416.83,74.25,,,
4.36E-03,4.19E-03,1.01E-05,-2175.23771,-55.8589698,-58.14,0.01,4.19,2175.24,114,,,
6.36E-03,5.21E-03,1.15E-05,-3173.89474,-81.5045911,-84.83,0.01,5.21,3173.89,166.34,,,
8.36E-03,5.98E-03,1.57E-05,-4172.42053,-107.146745,-111.52,0.02,5.98,4172.42,218.67,,,
1.04E-02,6.57E-03,2.25E-05,-5171.03178,-132.790706,-138.21,0.02,6.57,5171.03,271,,,
1.24E-02,7.04E-03,3.17E-05,-6169.6591,-158.435089,-164.9,0.03,7.04,6169.66,323.34,,,
1.44E-02,7.43E-03,4.29E-05,-7168.28812,-184.079509,-191.59,0.04,7.43,7168.29,375.67,,,
1.64E-02,7.76E-03,5.57E-05,-8166.91745,-209.723924,-218.29,0.06,7.76,8166.92,428.01,,,
1.84E-02,8.04E-03,6.99E-05,-9165.96437,-235.37897,-244.99,0.07,8.04,9165.96,480.37,,,
2.04E-02,8.28E-03,8.52E-05,-10164.4293,-261.019107,-271.68,0.09,8.28,10164.43,532.7,,,
2.24E-02,8.49E-03,1.01E-04,-11162.9612,-286.660945,-298.37,0.1,8.49,11162.96,585.03,,,
2.44E-02,8.68E-03,1.18E-04,-12161.5349,-312.303915,-325.06,0.12,8.68,12161.53,637.36,,,
2.64E-02,8.85E-03,1.36E-04,-13160.1305,-337.947444,-351.75,0.14,8.85,13160.13,689.69,,,
2.84E-02,9.00E-03,1.54E-04,-14158.7386,-363.591289,-378.44,0.15,9,14158.74,742.03,,,
3.04E-02,9.13E-03,1.73E-04,-15157.3544,-389.23532,-405.13,0.17,9.13,15157.35,794.36,,,
3.24E-02,9.25E-03,1.92E-04,-16155.9748,-414.879463,-431.82,0.19,9.25,16155.97,846.7,,,
3.44E-02,9.37E-03,2.12E-04,-17154.5982,-440.523675,-458.51,0.21,9.37,17154.6,899.03,,,
3.64E-02,9.47E-03,2.32E-04,-18153.2235,-466.16793,-485.2,0.23,9.47,18153.22,951.37,,,
3.84E-02,9.56E-03,2.52E-04,-19151.8501,-491.812213,-511.89,0.25,9.56,19151.85,1003.71,,,
4.04E-02,9.65E-03,2.72E-04,-20150.4776,-517.456513,-538.59,0.27,9.65,20150.48,1056.04,,,
4.24E-02,9.74E-03,2.93E-04,-21149.1056,-543.100824,-565.28,0.29,9.74,21149.11,1108.38,,,
4.44E-02,9.81E-03,3.14E-04,-22147.734,-568.745142,-591.97,0.31,9.81,22147.73,1160.71,,,
4.64E-02,9.88E-03,3.35E-04,-23146.3628,-594.389464,-618.66,0.33,9.88,23146.36,1213.05,,,
4.84E-02,9.95E-03,3.56E-04,-24144.9917,-620.03379,-645.35,0.36,9.95,24144.99,1265.39,,,
5.04E-02,1.00E-02,3.77E-04,-25143.6208,-645.678116,-672.04,0.38,10.01,25143.62,1317.72,,,
5.24E-02,1.01E-02,3.99E-04,-26142.25,-671.322444,-698.73,0.4,10.07,26142.25,1370.06,,,
5.44E-02,1.01E-02,4.21E-04,-27140.8792,-696.966771,-725.43,0.42,10.13,27140.88,1422.39,,,
5.64E-02,1.02E-02,4.42E-04,-28139.5086,-722.611099,-752.12,0.44,10.18,28139.51,1474.73,,,
5.84E-02,1.02E-02,4.64E-04,-29138.1379,-748.255426,-778.81,0.46,10.23,29138.14,1527.07,,,
6.04E-02,1.03E-02,4.86E-04,-30136.7673,-773.899752,-805.5,0.49,10.28,30136.77,1579.4,,,
6.24E-02,1.03E-02,5.08E-04,-31135.3968,-799.544078,-832.19,0.51,10.33,31135.4,1631.74,,,
6.44E-02,1.04E-02,5.30E-04,-32134.0262,-825.188403,-858.88,0.53,10.37,32134.03,1684.07,,,
6.64E-02,1.04E-02,5.52E-04,-33132.6557,-850.832728,-885.58,0.55,10.41,33132.66,1736.41,,,
6.84E-02,1.05E-02,5.75E-04,-34131.2852,-876.477051,-912.27,0.57,10.45,34131.29,1788.74,,,
7.04E-02,1.05E-02,5.97E-04,-35129.9147,-902.121374,-938.96,0.6,10.49,35129.91,1841.08,,,
7.24E-02,1.05E-02,6.20E-04,-36128.5442,-927.765695,-965.65,0.62,10.53,36128.54,1893.42,,,
7.44E-02,1.06E-02,6.42E-04,-37127.1737,-953.410016,-992.34,0.64,10.56,37127.17,1945.75,,,
7.64E-02,1.06E-02,6.65E-04,-38125.8032,-979.054337,-1019.03,0.66,10.6,38125.8,1998.09,,,
7.84E-02,1.06E-02,6.87E-04,-39124.4327,-1004.69866,-1045.73,0.69,10.63,39124.43,2050.42,,,
8.04E-02,1.07E-02,7.10E-04,-40123.0622,-1030.34298,-1072.42,0.71,10.66,40123.06,2102.76,,,
8.24E-02,1.07E-02,7.32E-04,-41121.6917,-1055.98729,-1099.11,0.73,10.69,41121.69,2155.1,,,
8.44E-02,1.07E-02,7.55E-04,-42120.3212,-1081.63161,-1125.8,0.76,10.72,42120.32,2207.43,,,
8.64E-02,1.08E-02,7.78E-04,-43118.9508,-1107.27593,-1152.49,0.78,10.75,43118.95,2259.77,,,
8.84E-02,1.08E-02,8.01E-04,-44117.5803,-1132.92024,-1179.18,0.8,10.78,44117.58,2312.1,,,
9.04E-02,1.08E-02,8.23E-04,-45116.2098,-1158.56456,-1205.88,0.82,10.8,45116.21,2364.44,,,
9.24E-02,1.08E-02,8.46E-04,-46114.8393,-1184.20887,-1232.57,0.85,10.83,46114.84,2416.78,,,
9.44E-02,1.09E-02,8.69E-04,-47113.4689,-1209.85319,-1259.26,0.87,10.85,47113.47,2469.11,,,
9.64E-02,1.09E-02,8.92E-04,-48112.0984,-1235.4975,-1285.95,0.89,10.88,48112.1,2521.45,,,
9.84E-02,1.09E-02,9.15E-04,-49110.7279,-1261.14181,-1312.64,0.92,10.9,49110.73,2573.78,,,
0.10035625,1.09E-02,9.38E-04,-50109.3574,-1286.78613,-1339.33,0.94,10.92,50109.36,2626.12,,,
0.10235625,1.09E-02,9.61E-04,-51107.987,-1312.43044,-1366.03,0.96,10.95,51107.99,2678.46,,,
0.10435625,1.10E-02,9.84E-04,-52106.6165,-1338.07475,-1392.72,0.98,10.97,52106.62,2730.79,,,
0.10635625,1.10E-02,1.01E-03,-53105.246,-1363.71906,-1419.41,1.01,10.99,53105.25,2783.13,,,
0.10835625,1.10E-02,1.03E-03,-54103.8755,-1389.36337,-1446.1,1.03,11.01,54103.88,2835.46,,,
0.11035625,1.10E-02,1.05E-03,-55102.5051,-1415.00768,-1472.79,1.05,11.03,55102.51,2887.8,,,
0.11235625,1.10E-02,1.08E-03,-56101.1346,-1440.65199,-1499.48,1.08,11.05,56101.13,2940.14,,,
0.11435625,1.11E-02,1.10E-03,-57099.7641,-1466.2963,-1526.18,1.1,11.06,57099.76,2992.47,,,
0.11635625,1.11E-02,1.12E-03,-58098.3937,-1491.94061,-1552.87,1.12,11.08,58098.39,3044.81,,,
0.11835625,1.11E-02,1.15E-03,-59097.0232,-1517.58492,-1579.56,1.15,11.1,59097.02,3097.14,,,
0.12035625,1.11E-02,1.17E-03,-60095.6527,-1543.22923,-1606.25,1.17,11.12,60095.65,3149.48,,,
0.12235625,1.11E-02,1.19E-03,-61094.2823,-1568.87353,-1632.94,1.19,11.13,61094.28,3201.82,,,
0.12435625,1.11E-02,1.22E-03,-62092.9118,-1594.51784,-1659.63,1.22,11.15,62092.91,3254.15,,,
0.12635625,1.12E-02,1.24E-03,-63091.5413,-1620.16215,-1686.33,1.24,11.17,63091.54,3306.49,,,
0.12835625,1.12E-02,1.26E-03,-64090.1708,-1645.80646,-1713.02,1.26,11.18,64090.17,3358.82,,,
0.13035625,1.12E-02,1.29E-03,-65088.8004,-1671.45076,-1739.71,1.29,11.2,65088.8,3411.16,,,
0.13235625,1.12E-02,1.31E-03,-66087.4299,-1697.09507,-1766.4,1.31,11.21,66087.43,3463.5,,,
0.13435625,1.12E-02,1.33E-03,-67086.0594,-1722.73937,-1793.09,1.33,11.23,67086.06,3515.83,,,
0.13635625,1.12E-02,1.36E-03,-68084.689,-1748.38368,-1819.78,1.36,11.24,68084.69,3568.17,,,
0.13835625,1.13E-02,1.38E-03,-69083.3185,-1774.02798,-1846.48,1.38,11.25,69083.32,3620.5,,,
0.14035625,1.13E-02,1.40E-03,-70081.948,-1799.67229,-1873.17,1.4,11.27,70081.95,3672.84,,,
0.14235625,1.13E-02,1.43E-03,-71080.5776,-1825.31659,-1899.86,1.43,11.28,71080.58,3725.18,,,
0.14435625,1.13E-02,1.45E-03,-72079.2071,-1850.9609,-1926.55,1.45,11.29,72079.21,3777.51,,,
0.14635625,1.13E-02,1.47E-03,-73077.8366,-1876.6052,-1953.24,1.47,11.31,73077.84,3829.85,,,
0.14835625,1.13E-02,1.50E-03,-74076.4661,-1902.2495,-1979.93,1.5,11.32,74076.47,3882.18,,,
0.15035625,1.13E-02,1.52E-03,-75075.0957,-1927.89381,-2006.63,1.52,11.33,75075.1,3934.52,,,
0.15235625,1.13E-02,1.54E-03,-76073.7252,-1953.53811,-2033.32,1.54,11.34,76073.73,3986.86,,,
0.15435625,1.14E-02,1.57E-03,-77072.3547,-1979.18241,-2060.01,1.57,11.36,77072.35,4039.19,,,
0.15635625,1.14E-02,1.59E-03,-78070.9843,-2004.82671,-2086.7,1.59,11.37,78070.98,4091.53,,,
0.15835625,1.14E-02,1.61E-03,-79069.6138,-2030.47102,-2113.39,1.61,11.38,79069.61,4143.86,,,
0.16035625,1.14E-02,1.64E-03,-80068.2433,-2056.11532,-2140.08,1.64,11.39,80068.24,4196.2,,,
0.16235625,1.14E-02,1.66E-03,-81066.8729,-2081.75962,-2166.78,1.66,11.4,81066.87,4248.53,,,
0.16435625,1.14E-02,1.68E-03,-82065.5024,-2107.40392,-2193.47,1.68,11.41,82065.5,4300.87,,,
0.16635625,1.14E-02,1.71E-03,-83064.1319,-2133.04822,-2220.16,1.71,11.42,83064.13,4353.21,,,
0.16835625,1.14E-02,1.73E-03,-84062.7615,-2158.69252,-2246.85,1.73,11.43,84062.76,4405.54,,,
0.17035625,1.14E-02,1.75E-03,-85061.391,-2184.33682,-2273.54,1.75,11.44,85061.39,4457.88,,,
0.17235625,1.15E-02,1.78E-03,-86060.0205,-2209.98112,-2300.23,1.78,11.45,86060.02,4510.21,,,
0.17435625,1.15E-02,1.80E-03,-87058.65,-2235.62542,-2326.93,1.8,11.46,87058.65,4562.55,,,
0.17635625,1.15E-02,1.82E-03,-88057.2796,-2261.26972,-2353.62,1.82,11.47,88057.28,4614.89,,,
0.17835625,1.15E-02,1.85E-03,-89055.9091,-2286.91402,-2380.31,1.85,11.48,89055.91,4667.22,,,
0.18035625,1.15E-02,1.87E-03,-90054.5386,-2312.55832,-2407,1.87,11.49,90054.54,4719.56,,,
0.18235625,1.15E-02,1.90E-03,-91053.1682,-2338.20262,-2433.69,1.9,11.5,91053.17,4771.89,,,
0.18435625,1.15E-02,1.92E-03,-92051.7977,-2363.84692,-2460.38,1.92,11.51,92051.8,4824.23,,,
0.18635625,1.15E-02,1.94E-03,-93050.4272,-2389.49122,-2487.08,1.94,11.52,93050.43,4876.57,,,
0.18835625,1.15E-02,1.97E-03,-94049.0568,-2415.13552,-2513.77,1.97,11.53,94049.06,4928.9,,,
0.19035625,1.15E-02,1.99E-03,-95047.6863,-2440.77982,-2540.46,1.99,11.54,95047.69,4981.24,,,
0.19235625,1.15E-02,2.01E-03,-96046.3158,-2466.42412,-2567.15,2.01,11.55,96046.32,5033.57,,,
0.19435625,1.16E-02,2.04E-03,-97044.9454,-2492.06841,-2593.84,2.04,11.56,97044.95,5085.91,,,
0.19635625,1.16E-02,2.06E-03,-98043.5749,-2517.71271,-2620.53,2.06,11.56,98043.57,5138.25,,,
0.19835625,1.16E-02,2.08E-03,-99042.2044,-2543.35701,-2647.22,2.08,11.57,99042.2,5190.58,,,
0.20035625,1.16E-02,2.11E-03,-100040.834,-2569.00131,-2673.92,2.11,11.58,100040.83,5242.92,,,
0.20235625,1.16E-02,2.13E-03,-101039.463,-2594.64561,-2700.61,2.13,11.59,101039.46,5295.25,,,
0.20435625,1.16E-02,2.16E-03,-102038.093,-2620.2899,-2727.3,2.16,11.6,102038.09,5347.59,,,
0.20635625,1.16E-02,2.18E-03,-103036.723,-2645.9342,-2753.99,2.18,11.6,103036.72,5399.93,,,
0.20835625,1.16E-02,2.20E-03,-104035.352,-2671.5785,-2780.68,2.2,11.61,104035.35,5452.26,,,
0.21035625,1.16E-02,2.23E-03,-105033.982,-2697.22279,-2807.37,2.23,11.62,105033.98,5504.6,,,
0.21235625,1.16E-02,2.25E-03,-106032.611,-2722.86709,-2834.07,2.25,11.63,106032.61,5556.93,,,
